station1_id,station2_id,time_cost,distance_cost
13,39,1,33
39,14,6,540
14,15,1,10
14,16,2,75
16,17,1,5
16,19,2,120
19,11,2,30
19,12,5,20
19,18,1,8
19,20,2,100
20,21,1,15
18,22,3,145
22,24,2,75
22,23,2,75
22,40,2,68
23,33,5,160
23,30,2,60
24,25,2,66
25,26,1,5
25,27,1,10
25,30,1,20
25,31,1,10
25,32,1,10
25,33,2,70
26,3,1,4
26,43,2,40
26,28,2,40
27,3,1,4
27,4,1,5
27,29,1,6
27,28,2,45
28,8,2,15
30,7,2,10
31,6,1,2
31,5,8,6
32,5,8,26
43,9,2,15
43,10,2,15
40,41,1,2
41,42,8,30
42,8,5,60
42,9,5,30
42,10,5,30
33,1,1,5
33,35,1,15
35,2,10,2
35,36,1,1
35,34,1,5
34,37,2,100
34,38,6,240
36,2,5,20
