from,to,direction
Regie bridge,Campus Entrance - Splaiul Independentei,Cross the street.
Campus Entrance - Splaiul Independentei,Regie bridge,Cross the street.
Campus Entrance - Splaiul Independentei,Aula's fountains,Go straight forward for 550m.
Aula's fountains,Campus Entrance - Splaiul Independentei,Go straight forward for 550m.
Aula's fountains,Aula,On your right is your destination.
Aula,Aula's fountains,In front of you is the place you are looking for; for exiting the campus go left.
Aula's fountains,Entrance/Exit - BN building,Go straight forward for 70m.
Entrance/Exit - BN building,Aula's fountains,Turn left and go forward for 70m.
Entrance/Exit - BN building,BCR Politehnica,"After you enter the building, on your left side."
BCR Politehnica,Entrance/Exit - BN building,Exit the office and turn right.
Entrance/Exit - BN building,BCR Politehnica,"After you enter the building, on your left side."
Entrance/Exit - BN building,BCR Politehnica,"After you enter the building, on your left side."
Entrance/Exit - BN building,AN Spiral Stairs,Turn left and go all the way through the hallway; the stairs ar on your left side.
AN Spiral Stairs,Entrance/Exit - BN building,Go all the way through the hallway and turn right at the other end.
AN Spiral Stairs,AN030,"Looking at the stairs, you have to turn left and continue forqard. The classroom is on the right-side."
AN030,AN Spiral Stairs,"Going out of the class, you must turn left and go forward to find the stairs."
AN Spiral Stairs,AN210,"Go up the stairs to the second floor. At the end of the stairs, turn left and there is the classroom."
AN210,AN Spiral Stairs,Get down the stairs to continue your path.
AN Spiral Stairs,Entrance/Exit - AN building,It is the closest exit of the building.
Entrance/Exit - AN building,AN Spiral Stairs,It is the closest staircase from the entrance. Look to your right.
AN Spiral Stairs,Rectory Elevator,"Go through the glass doors and at the end of the hallway, on the right side you will found the elevator."
Rectory Elevator,AN Spiral Stairs,"As you get out of the elevator, turn left and go forward. After you get pass the glass doors, you will see the stairs."
Rectory Elevator,Rectory Caffeteria,"As you get out of the elevator, turn right and head to the bigger hallway. Turn left and in front of you is the caffeteria."
Rectory Caffeteria,Rectory Elevator,Get out of the caffeteria and go forward for 15m. If you turn right you will find the elevator.
Entrance/Exit - AN building,Pedestrian Cross,Go forward for 140m and the cross is on your right.
Pedestrian Cross,Entrance/Exit - AN building,Go forward for 140m and AN building is the first building on the right side of the road.
Pedestrian Cross,Campus Stairs (1),Go forward without crossing it for 70m. 
Campus Stairs (1),Pedestrian Cross,Go forward for 70m. The cross is on your left.
Pedestrian Cross,Campus Stairs (2),"Cross the road, turn to your left and continue forward. The stairs are 170m in this direction."
Campus Stairs (2),Pedestrian Cross,Go forward for 170m. The cross is on your right. You might need to cross the road.
